IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
30599724,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,US0027,,NICHOLASVILLE,RD,,,,,MALABU,,LOWRY,38.004445657,-84.518937937,2.999,9/22/2022,2044,2,1,0,1,CLOUDY,DRY,False,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,9/23/2022 12:05:55 AM,False,58937,Accepted,
30593633,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,US0025,,MAIN,ST,W,US0027,BROADWAY,,,,,38.048894616,-84.499840392,14.167,9/21/2022,1632,2,1,0,1,CLEAR,DRY,False,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,9/21/2022 6:06:16 PM,False,59778,Accepted,
30593820,0340300,UNIVERSITY OF KENTUCKY POLICE,Accepted,FAYETTE,US0027,,BOLIVAR,ST,,,,,,,,38.042743724,-84.506185049,5.875,9/20/2022,1625,2,1,0,0,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,9/21/2022 6:57:15 PM,False,7370,Accepted,
30590220,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,US0027,,NICHOLASVILLE,RD,,,,,ZANDALE,,BURT,38.008245730,-84.517896213,3.309,9/20/2022,2208,2,1,0,1,CLEAR,DRY,False,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,9/21/2022 3:05:39 AM,False,58941,Accepted,
30591183,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,US0027,,BROADWAY,,N,,,,CANE RUN,KY0004,NEW CIRCLE,38.068791917,-84.471282836,8.582,9/20/2022,0830,2,1,0,1,CLEAR,DRY,False,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,9/21/2022 8:24:48 AM,False,54455,Accepted,
30581750,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,KY0004,,NEW CIRCLE,RD,E,,,,GOLDEN,,OLD PARIS,38.064792885,-84.469564791,10.942,9/19/2022,0753,2,1,0,0,CLOUDY,DRY,False,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAWN,,,9/19/2022 11:28:01 AM,False,40593,Accepted,
30572891,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,US0025,,MAIN,ST,E,,LIMESTONE,,,,,38.046446282,-84.496991526,13.935,9/16/2022,1500,2,1,0,0,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,9/16/2022 4:27:23 PM,False,54539,Accepted,
30569046,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,US0025,,MAIN,ST,W,,LIMESTONE,,,,,38.046434150,-84.497132335,13.947,9/15/2022,1609,2,1,0,1,CLEAR,DRY,False,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,9/15/2022 6:23:10 PM,False,57918,Accepted,
30550540,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,,,ELM TREE,LN,,US0025,MAIN,,,,,38.042691964,-84.492896216,,9/12/2022,0523,2,1,0,1,RAINING,WET,False,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,9/12/2022 6:49:50 AM,False,58952,Accepted,
30546069,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,,,CITATION,BLVD,,,BULL LEA,,,,,38.087476156,-84.494553430,0.700,9/9/2022,1651,2,1,0,0,CLOUDY,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,9/10/2022 4:35:42 PM,False,54251,Accepted,
