IncidentID,UnitNumber,PersonNo,PersonTypeCde,DeathDte,AgeAtIncident,Gender,IsOwner,WasTransported,InjurySeverityCde,InjuryLocationCde,PosInVehicleCde,RestraintUseCde,TrappedCde,EjectionCde,EjectionPathCde,SuspectedOfDrinking,TestOffered,TestRefused,TestedForCde,TestSentTo,TestResults,HasOpLicense,HasCDLicense,HasLicenseRestrictions,HasOpEndorsements,
30211591,,4,07,,49,,,,,,,,,,,,,,,,,,,,,
30211591,,5,07,,41,,,,,,,,,,,,,,,,,,,,,
30211591,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
30299277,,3,07,,,,,,,,,,,,,,,,,,,,,,,
30299277,,4,07,,57,,,,,,,,,,,,,,,,,,,,,
30299277,,5,07,,43,,,,,,,,,,,,,,,,,,,,,
30411060,,3,07,,,,,,,,,,,,,,,,,,,,,,,
30411060,,4,07,,,,,,,,,,,,,,,,,,,,,,,
30411060,,5,07,,,,,,,,,,,,,,,,,,,,,,,
30411060,,6,07,,,,,,,,,,,,,,,,,,,,,,,
30411060,,7,07,,,,,,,,,,,,,,,,,,,,,,,
30441462,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
30478163,,3,07,,,,,,,,,,,,,,,,,,,,,,,
30478163,,4,07,,,,,,,,,,,,,,,,,,,,,,,
30483932,,3,07,,,,,,,,,,,,,,,,,,,,,,,
30515058,,4,07,,,,,,,,,,,,,,,,,,,,,,,
30528274,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
30569046,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
30569046,,4,07,,,,,,,,,,,,,,,,,,,,,,,
30572891,,3,07,,,,,,,,,,,,,,,,,,,,,,,
30572891,,4,07,,64,,,,,,,,,,,,,,,,,,,,,
30591183,,3,07,,31,,,,,,,,,,,,,,,,,,,,,
30591183,,4,07,,48,,,,,,,,,,,,,,,,,,,,,
30591183,,5,07,,65,,,,,,,,,,,,,,,,,,,,,
30593633,,5,07,,,,,,,,,,,,,,,,,,,,,,,
30599724,,3,07,,47,,,,,,,,,,,,,,,,,,,,,
30599724,,4,07,,30,,,,,,,,,,,,,,,,,,,,,
30599724,1,1,03,,33,FEMALE,False,True,02,08,,,01,01,01,,False,,,,,,,,,
30599724,2,2,01,,25,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,True,False,
30593633,2,4,03,,35,FEMALE,False,True,03,08,,,01,01,01,,False,,,,,,,,,
30591183,1,1,03,,22,FEMALE,False,True,04,01,,,01,01,01,,False,,,,,,,,,
30592760,,2,07,,19,FEMALE,,,,,,,,,,,,,,,,,,,,
30593633,1,1,08,,,FEMALE,True,False,,,,,,,,,,,,,,,,,,
30581750,2,2,01,,51,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30590220,2,2,01,,18,FEMALE,False,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30590220,2,3,08,,45,FEMALE,True,False,,,,,,,,,,,,,,,,,,
30575135,2,1,03,,20,FEMALE,False,True,03,07,,,01,01,01,,False,,,,,,,,,
30534404,1,1,01,,32,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30542775,1,1,03,,5,FEMALE,True,False,05,,,,01,01,01,,False,,,,,,,,,
30546069,1,1,01,,31,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30550540,1,1,01,,49,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30550540,2,2,03,,45,FEMALE,False,True,03,08,,,01,01,01,,False,,,,,,,,,
30560992,2,2,01,,66,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30563473,,3,07,,53,FEMALE,,,,,,,,,,,,,,,,,,,,
30211591,1,1,01,,27,FEMALE,False,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30569046,1,1,01,,27,FEMALE,False,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30515464,1,2,08,,73,FEMALE,True,False,,,,,,,,,,,,,,,,,,
30515464,2,3,01,,66,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30520835,1,2,01,,52,FEMALE,True,False,05,,11,01,01,01,01,,False,,,,,,,,,
30528205,1,2,08,,26,FEMALE,True,False,,,,,,,,,,,,,,,,,,
30528205,2,3,03,,56,FEMALE,True,True,04,04,,,01,01,01,,False,,,,,,,,,
30528274,1,1,01,,23,FEMALE,False,False,05,,11,01,01,01,01,False,False,,,,,False,False,,,
30515058,2,2,01,,53,FEMALE,False,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30509466,2,2,03,,41,FEMALE,False,False,05,,,,01,01,01,,False,,,,,,,,,
30483932,1,1,01,,18,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30483932,2,2,05,,19,FEMALE,True,True,03,01,,07,01,01,01,,,,,,,,,,,
30448803,2,2,01,,82,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30478163,1,1,03,,16,FEMALE,False,True,02,08,,,,,,,False,,,,,,,,,
30392636,2,1,03,,27,FEMALE,True,True,03,06,,,01,01,01,,False,,,,,,,,,
30450446,2,3,05,,34,FEMALE,True,False,03,08,,01,01,01,01,,,,,,,,,,,
30450446,,4,07,,35,FEMALE,,,,,,,,,,,,,,,,,,,,
30458832,2,1,03,,29,FEMALE,False,True,04,06,,,01,01,01,,False,,,,,,,,,
30412428,2,1,03,,34,FEMALE,True,True,03,01,,,01,01,01,,False,,,,,,,,,
30353611,2,2,01,,34,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30435466,1,1,03,,34,FEMALE,False,True,03,07,,,01,01,01,,False,,,,,,,,,
30294935,2,1,03,,19,FEMALE,False,True,03,08,,,01,01,01,,False,,,,,,,,,
30299277,1,1,01,,58,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30299277,2,2,03,,51,FEMALE,False,True,03,06,,,01,01,01,,False,,,,,,,,,
30211591,2,3,03,,59,FEMALE,False,True,04,04,,,01,01,01,,False,,,,,,,,,
30268513,2,2,03,,58,FEMALE,True,True,03,08,,,01,01,01,,False,,,,,,,,,
30269571,2,2,01,,18,FEMALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30254513,1,3,08,,38,FEMALE,True,False,,,,,,,,,,,,,,,,,,
30254513,,4,07,,62,MALE,,,,,,,,,,,,,,,,,,,,
30254513,,5,07,,37,MALE,,,,,,,,,,,,,,,,,,,,
30258118,1,1,05,,65,MALE,True,True,03,04,,01,01,01,01,,,,,,,,,,,
30258118,2,2,01,,37,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30258118,2,3,02,,42,MALE,False,False,05,,13,01,01,01,01,,,,,,,,,,,
30258118,2,4,02,,45,MALE,False,False,05,,23,01,01,01,01,,,,,,,,,,,
30268513,1,1,01,,42,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30213915,1,1,05,,57,MALE,True,False,,,,07,,,,,,,,,,,,,,
30213915,2,2,01,,45,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30247158,1,1,05,,14,MALE,False,True,04,08,,07,01,01,01,,,,,,,,,,,
30247158,,2,01,,41,MALE,,,,,,,,,,,,,,,,,,,,
30247158,2,3,01,,41,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
30249150,1,1,01,,37,MALE,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
