IncidentId,UnitNumber,PersonNo,AirBagNo,AirBag,
30211591,1,1,1,INSTALLED/NOT DEPLOYED,
30213915,2,2,1,INSTALLED/NOT DEPLOYED,
30247158,2,3,1,INSTALLED/NOT DEPLOYED,
30249150,1,1,1,INSTALLED/NOT DEPLOYED,
30249150,1,2,1,INSTALLED/NOT DEPLOYED,
30254513,2,2,1,INSTALLED/NOT DEPLOYED,
30258118,2,2,1,INSTALLED/NOT DEPLOYED,
30258118,2,3,1,INSTALLED/NOT DEPLOYED,
30258118,2,4,1,INSTALLED/NOT DEPLOYED,
30269571,2,2,1,INSTALLED/NOT DEPLOYED,
30287188,2,2,1,INSTALLED/NOT DEPLOYED,
30287188,2,3,1,INSTALLED/NOT DEPLOYED,
30287921,1,1,1,INSTALLED/NOT DEPLOYED,
30299277,1,1,1,INSTALLED/NOT DEPLOYED,
30307622,2,2,1,INSTALLED/NOT DEPLOYED,
30353611,2,2,1,INSTALLED/NOT DEPLOYED,
30375191,2,2,1,INSTALLED/NOT DEPLOYED,
30435466,2,2,1,INSTALLED/NOT DEPLOYED,
30448803,2,2,1,INSTALLED/NOT DEPLOYED,
30450446,1,1,1,INSTALLED/NOT DEPLOYED,
30478163,2,2,1,INSTALLED/NOT DEPLOYED,
30483932,1,1,1,INSTALLED/NOT DEPLOYED,
30510974,1,1,1,INSTALLED/NOT DEPLOYED,
30515058,2,2,1,INSTALLED/NOT DEPLOYED,
30515464,2,3,1,INSTALLED/NOT DEPLOYED,
30520835,1,2,1,INSTALLED/NOT DEPLOYED,
30528205,1,1,1,INSTALLED/NOT DEPLOYED,
30528274,1,1,1,INSTALLED/NOT DEPLOYED,
30534404,1,1,1,INSTALLED/NOT DEPLOYED,
30542775,2,2,1,INSTALLED/NOT DEPLOYED,
30546069,1,1,1,INSTALLED/NOT DEPLOYED,
30550540,1,1,1,INSTALLED/NOT DEPLOYED,
30560992,2,2,1,INSTALLED/NOT DEPLOYED,
30563473,2,2,1,INSTALLED/NOT DEPLOYED,
30569046,1,1,1,INSTALLED/NOT DEPLOYED,
30572891,2,2,1,INSTALLED/NOT DEPLOYED,
30581750,2,2,1,INSTALLED/NOT DEPLOYED,
30590220,2,2,1,INSTALLED/NOT DEPLOYED,
30591183,2,2,1,INSTALLED/NOT DEPLOYED,
30593633,1,2,1,INSTALLED/NOT DEPLOYED,
30593633,1,3,1,INSTALLED/NOT DEPLOYED,
30593820,1,1,1,INSTALLED/NOT DEPLOYED,
30599724,2,2,1,INSTALLED/NOT DEPLOYED,
