IncidentId,UnitNumber,Factor_Type,Factor,
30211591,1,HUMAN FACTOR,08,
30211591,1,HUMAN FACTOR,97,
30211591,1,VEHICULAR FACTOR,99,
30211591,1,ENVIRON FACTOR,99,
30213915,2,HUMAN FACTOR,99,
30213915,2,VEHICULAR FACTOR,99,
30213915,2,ENVIRON FACTOR,99,
30247158,2,HUMAN FACTOR,99,
30247158,2,VEHICULAR FACTOR,99,
30247158,2,ENVIRON FACTOR,99,
30249150,1,HUMAN FACTOR,08,
30249150,1,HUMAN FACTOR,14,
30249150,1,VEHICULAR FACTOR,99,
30249150,1,ENVIRON FACTOR,99,
30254513,2,HUMAN FACTOR,99,
30254513,2,VEHICULAR FACTOR,99,
30254513,2,ENVIRON FACTOR,12,
30258118,2,HUMAN FACTOR,99,
30258118,2,VEHICULAR FACTOR,99,
30258118,2,ENVIRON FACTOR,99,
30268513,1,HUMAN FACTOR,08,
30268513,1,VEHICULAR FACTOR,99,
30268513,1,ENVIRON FACTOR,99,
30269571,2,HUMAN FACTOR,03,
30269571,2,HUMAN FACTOR,08,
30269571,2,VEHICULAR FACTOR,99,
30269571,2,ENVIRON FACTOR,99,
30287188,2,HUMAN FACTOR,99,
30287188,2,VEHICULAR FACTOR,99,
30287188,2,ENVIRON FACTOR,99,
30287921,1,HUMAN FACTOR,08,
30287921,1,VEHICULAR FACTOR,99,
30287921,1,ENVIRON FACTOR,99,
30294935,1,HUMAN FACTOR,03,
30294935,1,HUMAN FACTOR,07,
30294935,1,HUMAN FACTOR,08,
30294935,1,HUMAN FACTOR,14,
30294935,1,ENVIRON FACTOR,99,
30299277,1,HUMAN FACTOR,14,
30299277,1,VEHICULAR FACTOR,99,
30299277,1,ENVIRON FACTOR,99,
30307622,2,HUMAN FACTOR,99,
30307622,2,VEHICULAR FACTOR,99,
30307622,2,ENVIRON FACTOR,99,
30353611,2,HUMAN FACTOR,99,
30353611,2,VEHICULAR FACTOR,99,
30353611,2,ENVIRON FACTOR,99,
30375191,2,HUMAN FACTOR,99,
30375191,2,VEHICULAR FACTOR,99,
30375191,2,ENVIRON FACTOR,99,
30411060,1,HUMAN FACTOR,03,
30411060,1,HUMAN FACTOR,18,
30411060,1,HUMAN FACTOR,22,
30411060,1,VEHICULAR FACTOR,99,
30411060,1,ENVIRON FACTOR,02,
30412428,1,HUMAN FACTOR,14,
30412428,1,HUMAN FACTOR,18,
30412428,1,HUMAN FACTOR,22,
30412428,1,VEHICULAR FACTOR,99,
30412428,1,ENVIRON FACTOR,11,
30428281,1,HUMAN FACTOR,01,
30428281,1,HUMAN FACTOR,26,
30428281,1,VEHICULAR FACTOR,99,
30428281,1,ENVIRON FACTOR,99,
30428281,2,HUMAN FACTOR,99,
30428281,2,VEHICULAR FACTOR,99,
30428281,2,ENVIRON FACTOR,99,
30435466,2,HUMAN FACTOR,99,
30435466,2,VEHICULAR FACTOR,99,
30435466,2,ENVIRON FACTOR,99,
30441462,1,HUMAN FACTOR,03,
30441462,1,HUMAN FACTOR,04,
30441462,1,HUMAN FACTOR,14,
30441462,1,VEHICULAR FACTOR,99,
30441462,1,ENVIRON FACTOR,99,
30441462,1,DRIVER DISTRACTED BY,05,
30448803,2,HUMAN FACTOR,99,
30448803,2,VEHICULAR FACTOR,99,
30448803,2,ENVIRON FACTOR,99,
30450446,1,HUMAN FACTOR,17,
30450446,1,VEHICULAR FACTOR,99,
30450446,1,ENVIRON FACTOR,99,
30458832,1,HUMAN FACTOR,08,
30458832,1,VEHICULAR FACTOR,99,
30458832,1,ENVIRON FACTOR,99,
30461132,1,HUMAN FACTOR,03,
30461132,1,HUMAN FACTOR,08,
30478163,2,HUMAN FACTOR,99,
30478163,2,VEHICULAR FACTOR,99,
30478163,2,ENVIRON FACTOR,99,
30483932,1,HUMAN FACTOR,03,
30483932,1,VEHICULAR FACTOR,99,
30483932,1,ENVIRON FACTOR,99,
30510974,1,HUMAN FACTOR,14,
30510974,1,VEHICULAR FACTOR,99,
30510974,1,ENVIRON FACTOR,05,
30515058,2,HUMAN FACTOR,99,
30515058,2,VEHICULAR FACTOR,99,
30515058,2,ENVIRON FACTOR,99,
30515464,2,HUMAN FACTOR,14,
30515464,2,VEHICULAR FACTOR,99,
30515464,2,ENVIRON FACTOR,99,
30520835,1,HUMAN FACTOR,08,
30520835,1,VEHICULAR FACTOR,99,
30520835,1,ENVIRON FACTOR,99,
30528205,1,HUMAN FACTOR,18,
30528205,1,VEHICULAR FACTOR,99,
30528205,1,ENVIRON FACTOR,99,
30528274,1,HUMAN FACTOR,03,
30528274,1,HUMAN FACTOR,14,
30528274,1,VEHICULAR FACTOR,99,
30528274,1,ENVIRON FACTOR,99,
30534404,1,HUMAN FACTOR,14,
30534404,1,VEHICULAR FACTOR,99,
30534404,1,ENVIRON FACTOR,99,
30542775,2,HUMAN FACTOR,99,
30542775,2,VEHICULAR FACTOR,99,
30542775,2,ENVIRON FACTOR,02,
30542775,2,ENVIRON FACTOR,12,
30546069,1,HUMAN FACTOR,99,
30546069,1,VEHICULAR FACTOR,99,
30546069,1,ENVIRON FACTOR,99,
30550540,1,HUMAN FACTOR,08,
30550540,1,VEHICULAR FACTOR,99,
30550540,1,ENVIRON FACTOR,99,
30560992,2,HUMAN FACTOR,99,
30560992,2,VEHICULAR FACTOR,99,
30560992,2,ENVIRON FACTOR,97,
30563473,2,HUMAN FACTOR,99,
30563473,2,VEHICULAR FACTOR,99,
30563473,2,ENVIRON FACTOR,14,
30569046,1,HUMAN FACTOR,08,
30569046,1,VEHICULAR FACTOR,99,
30569046,1,ENVIRON FACTOR,99,
30572891,2,HUMAN FACTOR,99,
30572891,2,VEHICULAR FACTOR,99,
30572891,2,ENVIRON FACTOR,99,
30581750,2,HUMAN FACTOR,99,
30581750,2,VEHICULAR FACTOR,99,
30581750,2,ENVIRON FACTOR,99,
30590220,2,HUMAN FACTOR,99,
30590220,2,VEHICULAR FACTOR,99,
30590220,2,ENVIRON FACTOR,99,
30591183,2,HUMAN FACTOR,99,
30591183,2,VEHICULAR FACTOR,99,
30591183,2,ENVIRON FACTOR,99,
30592760,1,HUMAN FACTOR,99,
30592760,1,ENVIRON FACTOR,99,
30593633,1,HUMAN FACTOR,04,
30593633,1,VEHICULAR FACTOR,99,
30593633,1,ENVIRON FACTOR,99,
30593633,1,DRIVER DISTRACTED BY,02,
30593820,1,HUMAN FACTOR,14,
30593820,1,VEHICULAR FACTOR,99,
30593820,1,ENVIRON FACTOR,99,
30599724,2,HUMAN FACTOR,99,
30599724,2,VEHICULAR FACTOR,99,
30599724,2,ENVIRON FACTOR,99,
