IncidentID,UnitNumber,UnitType,AirbagSwitchCde,IsCommercialVeh,CrashAvoidCde,DriverIdentifiedCde,EventCollWithFirstCde,EventCollWithSecondCde,HasFire,PreCollActionCde,UnderOverrideCde,VehicleIsInsured,MakeCde,ModelCde,VehicleType,MakeDescription,ModelDescription,
30575135,1,HIT & RUN/UNKNOWN,01,False,,UN,06,,False,08,98,,,,,,,
30412428,1,PASSENGER CAR,03,False,,UN,06,,False,08,01,,,,,,,
30392636,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,UN,06,,False,07,01,,,,,,,
30592760,1,PASSENGER CAR,03,False,,UN,06,,False,05,01,,,,,,,
30411060,1,PASSENGER CAR,03,False,,DI,06,,False,05,01,True,DODG,CHL,2 DOOR,DODGE,CHALLENGER,
30294935,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,UN,06,,,05,01,False,CHEV,,4 DOOR,CHEVROLET,TAH,
30287188,2,PASSENGER CAR,03,False,04,DI,02,,False,05,01,True,CHEV,MAL,4 DOOR,CHEVROLET,MALIBU,
30287921,1,PASSENGER CAR,03,False,,DI,02,,False,08,01,True,CHEV,IMP,4 DOOR,CHEVROLET,IMPALA,
30550540,1,PASSENGER CAR,01,False,,DI,06,,False,07,01,True,FORD,FUS,4 DOOR,FORD,FUSION,
30211591,1,PASSENGER CAR,03,False,,DI,06,,False,07,01,True,NISS,ALT,4 DOOR,NISSAN,ALTIMA,
30299277,1,PASSENGER CAR,03,False,,DI,06,,False,07,01,True,CHEV,MAL,4 DOOR,CHEVROLET,MALIBU,
30307622,2,PASSENGER CAR,01,False,,DI,02,,False,07,01,True,TOYT,YAR,4 DOOR,TOYOTA,YARIS,
30353611,2,PASSENGER CAR,03,False,,DI,06,,False,07,01,True,HOND,ACC,4 DOOR,HONDA,ACCORD,
30375191,2,PASSENGER CAR,03,False,,DI,06,,False,05,01,True,FORD,FUS,4 DOOR,FORD,FUSION,
30591183,2,PASSENGER CAR,03,False,,DI,06,,False,05,01,True,NISS,SEN,4 DOOR,NISSAN,SENTRA,
